,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
292,lokalkostnad,,,,,,,,,,,vårdgivarens (25.2.3.1.1) kostnad för tid som en vårdlokal (7.2.9.1) behöver disponeras,,Klar,2019-12-10,FVM,Anmärkning 1     För de flesta vårdlokaler finns en driftkostnad och en avskrivningskostnad. Om denna räknas ut kan lokalkostnaden för en viss hälso- och sjukvårdsaktivitet beräknas som grund för del av finansieringsbehovet.,,Från Termforum,27.5.2.1
293,kroppsmonterad produkt,,,,,,,,,,,medicinteknisk produkt (3.4.2) som fästs på kroppen eller implanteras som ersättning för kroppsdel,,Klar,2019-12-10,FVM,"Anmärkning 1     Gränsen mellan implantat och protes är begreppsmässigt otydlig. En ""konstgjord höftled"" kallas ofta höftprotes fast den är implanterad. Samma gäller hjärtklaffproteser. Begreppsmässigt bör en protes anbringas utanpå kroppsytan (tandprotes, underbensprotes), medan ett implantat förankras i vävnaden (tandimplantat, ledimplantat, klaffimplantat i hjärtat).

Förklaring     Implantat, proteser. ",,Från Termforum,27.6.1
294,medicinteknisk materiel,,,,,,,,,,,medicinteknisk produkt (3.4.2) med passiv funktion som kan återanvändas,,Klar,2019-12-10,FVM,"Exempel 1     Peang, rullstol.",,Från Termforum,27.6.2
295,medicinteknisk förbrukningsartikel,,,,,,,,,,,medicinteknisk produkt (3.4.2) som används en gång och sedan kasseras,,Klar,2019-12-10,FVM,"Exempel 1     Infartskanyl, urinkateter, skalpell.",,Från Termforum,27.6.3
296,hjälpmedel för det dagliga livet,,,,,,,,,,,"individuellt utprovad produkt som syftar till att bibehålla eller öka aktivitet, delaktighet eller självständighet genom att kompensera en funktionsnedsättning (26.4.2.5.2)",,Klar,2019-12-10,Socialstyrelsens termbank ,Anmärkning 1     Hjälpmedel för det dagliga livet är vanligen medicintekniska produkter.,,Från Termforum,27.6.4
297,vårdplats,,,,,,,,,,,ligg- eller sittplats på vårdenhet (25.2.3.1.2) som kan användas för vård och behandling,,Klar,2019-12-10,Socialstyrelsens termbank,Anmärkning 1     Det finns inget i Socialstyrelsens definition som binder en vårdplats till sluten vård. Den kan alltså utnyttjas om en patient under en kort vistelse på sjukhuset behöver ligga ner. Begreppet avser alltså den fysiska platsen och inte resurs som ska användas i sluten vård. Detta ingick i en tidigare definition som ändrades till nuvarande 2011.,,Från Termforum,27.7
298,fastställd vårdplats,,,,,,,,,,,"vårdplats (27.7) i sluten vård (29.5) beslutad av vårdgivare (25.2.3.1.1)

Kommentar till definition:     vårdplats i sluten vård beslutad av huvudman (Socialstyrelsens termbank)

Alternativ definition    
Vårdgivaren delegerar vanligen till berörda sjukhusstyrelser/förvaltningschefer att besluta om fastställda vårdplatser. Begreppet avser budget för en slutenvårdsresurs och är primärt inte kopplat till en fysiskt vårdplats (se disponibel vårdplats 9.1.2.3).",,Klar,2019-12-10,Socialstyrelsens termbank reviderad,"Anmärkning 1     Socialstyrelsens definition av huvudman är ""myndighet eller organisation som juridiskt och ekonomiskt har ansvaret för viss verksamhet"". Denna definition säger inget om vilken verksamhet det rör sig om. I Västra Götalandsregionen skulle det kunna vara ledningen för Västra Götalandsregionens folkhögskolor som beslutar om vårdplatser. I fråga om hälso- och sjukvård är vårdgivare synonymt med huvudman, varför denna term väljs i definitionen. 

",,Från Termforum,27.7.1
299,disponibel vårdplats,,,,,,,,,,,"vårdplats (27.7) i sluten vård (29.5) med fysisk utformning, utrustning och bemanning som säkerställer patientsäkerhet (28.2.4.4) och arbetsmiljö",,Klar,2019-12-10,Socialstyrelsens termbank,"Anmärkning 1     Eftersom ordet ""fysisk"" finns i definitionen är det klart att detta rör sig om sängar som ska vara utrustade så att hälso- och sjukvård kan bedrivas på säkert sätt i en god arbetsmiljö. Ansvarig för patientsäkerhet och arbetsmiljö är verksamhetschefen, som beslutar om disponibla vårdplatser. Ofta är antalet detsamma som antalet fastställda vårdplatser, men personalbrist och risk för spridning av vårdrelaterade infektioner kan föranleda verksamhetschefen att besluta om minskat antal disponibla vårdplatser. Stor inströmning av patienter kan för patientsäkerheten kräva ökat antal platser, och det är också då verksamhetschefen som beslutar om detta, medveten om att det saknas finansiell täckning för det ökade antalet disponibla platser.",,Från Termforum,27.7.2
300,teknisk vårdplats,,,,,,,,,,,disponibel vårdplats (3.4.1.2.3) på vårdenhet (25.2.3.1.2) med särskilda resurser (9.1),,Klar,2019-12-10,Socialstyrelsens termbank,,,Från Termforum,27.7.2.1
301,läkemedelsform,,,,,,,,,,,form som läkemedel (3.4.3) förekommer i,,Klar,2019-12-10,Socialstyrelsens termbank  ,"Exempel 1     Tablett, kapsel, suppositorium, kräm, depotplåster, granulat, lösning, injektionslösning, injektionspulver, salva, inhalationspulver etc.",,Från Termforum,27.8.1
302,läkemedelsprodukt,,,,,,,,,,,namngivet läkemedel (3.4.3) med viss styrka och läkemedelsform (27.8.1),,Klar,2019-12-10,Socialstyrelsens termbank ,,,Från Termforum,27.8.2
303,läkemedelsvara,,,,,,,,,,,läkemedelsprodukt (27.8.2) med viss förpackningsstorlek och av viss förpackningstyp,,Klar,2019-12-10,Socialstyrelsens termbank ,,,Från Termforum,27.8.3
304,"aktiv substans
",verksam substans,,,,,,,,,,"[i läkemedel] beståndsdel i läkemedelsprodukt (27.8.2) vars syfte är att ge effekt

Kommentar till definition:     (i läkemedel:) beståndsdel vars syfte är att ge avsedd effekt ",,Klar,2019-12-10,Socialstyrelsens termbank reviderad ,"Anmärkning 1     Definitionen förtydligas genom att hänvisa till läkemedelsprodukt. Att begreppet inkluderas beror på att s.k. generisk förskrivning ska möjliggöras i Kärnsystemet, dvs. förskrivningen anger inte läkemedelsprodukt utan aktiv substans. Man förskriver alltså paracetamol, varefter apoteket kan expediera Alvedon, Paracetamol, Pamol, Panodil eller Pinex.",,Från Termforum,27.8.4
305,ATC-kod,,,,,,,,,,,klassifikationskod för gruppering av läkemedel (3.4.3) i fem nivåer,,Klar,2019-12-10,Socialstyrelsens termbank,"Anmärkning 1   Nivå 1: Anatomisk huvudgrupp, 14 st (1-ställig). 
Nivå 2: Terapeutisk undergrupp (3-ställig). 
Nivå 3: Farmakologisk undergrupp (4-ställig). 
Nivå 4: Kemisk undergrupp (5-ställig). 
Nivå 5: Kemisk substans (7-ställig). 
För humanläkemedel gäller ATC-kod: A-V. Nationellt grupperas även varor som inte är läkemedel. Ex.: medicintekniska produkter har ATC-kod W-Z. ATC står för Anatomical Therapeutic Chemical Classification System.",,Från Termforum,27.8.5
306,FASS,,,,,,,,,,,sammanställning av läkemedelsfakta från läkemedelsindustrin till förskrivare av läkemedel och apotekspersonal,,Klar,2019-12-10,FASS,Anmärkning 1     FASS är en förkortning som står för Farmaceutiska Specialiteter i Sverige.,,Från Termforum,27.8.6
307,läkemedelslista,,,,,,,,,,,"förteckning över läkemedelsordinationer (29.2.9.2) , förskrivna läkemedelsprodukter (27.8.2) samt läkemedelsexpedieringar (27.2.1.4), som gäller en viss person",,Klar,2019-12-10,FVM,Anmärkning 1     Läkemedelslistan är en del av patientjournalen.,,Från Termforum,27.8.7
308,läkemedelsinteraktion,,,,,,,,,,,läkemedels (3.4.3) påverkan på annat läkemedels (9.1.3) effekt eller nedbrytning,,Klar,2019-12-10,"Medicinsk ordbok, Belfrage Medical AB ",Anmärkning 1     Läkemedelsinteraktion kan yttra sig som läkemedelsbiverkan (/komplikation) och utgöra en avvikelse (tillbud eller negativ händelse).,,Från Termforum,27.8.8
309,läkemedelskostnad,,,,,,,,,,,kostnad för användning av viss läkemedelsprodukt (27.8.2) i hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,FVM ,"Anmärkning 1     Läkemedelskostnaden kan räknas per läkemedelsprodukt under hel process, inom aktivitet eller per doseringstillfälle och är en del i beräkningen av hälso- och sjukvårdens finansieringsbehov.",,Från Termforum,27.8.9
310,sjukvårdsmaterial,,,,,,,,,,,förbrukningsartikel (3.4.2.4) som inte är medicinteknisk produkt (9.1.1.3),,Klar,2019-12-10,FVM,"Exempel 1     Bandage, tvättmedel.",,Från Termforum,27.9.1
311,sjukvårdsmateriel,,,,,,,,,,,sjukvårdsartiklar som kan återanvändas,,Klar,2019-12-10,FVM,"Exempel 1     Sänglinne, patientkläder, personalkläder, handdukar.",,Från Termforum,27.9.2
312,resurskostnad,,,,,,,,,,,driftkostnad för resurs (3.4.1) som inte är förbrukningsartikel (27.6.3),,Klar,2019-12-10,FVM,Förklaring     Överordnat begrepp för drift- och kapitaltjänstkostnad för resurser som inte är engångsmaterial och driver kostnad vid sin enda användning.,,Från Termforum,27.9.3
313,brukstid,,,,,,,,,,,tid som automatisk medicinteknisk produkt (7.2.9.2) används,,Klar,2019-12-10,FVM,Förklaring     Brukstiden genererar drift- och kapitaltjänstkostnad för utnyttjande av apparat.,,Från Termforum,27.9.4
314,användningskostnad,,,,,,,,,,,beräknad kostnad för en användning av medicinteknisk materiel (27.6.2) eller sjukvårdsmateriel (27.9.2),,Klar,2019-12-10,FVM,Exempel 1     Om ett patientplagg kan tvättas 100 gånger kostar varje användning tvätt + 1/100 av plaggets pris + eventull lagning.,,Från Termforum,27.9.5
315,enhetskostnad,,,,,,,,,,,kostnad för resurs (3.4.1) vid dess enda utnyttjande,,Klar,2019-12-10,FVM ,Förklaring     Avser förbrukningsartiklar och kroppsmonterade medicintekniska produkter,,Från Termforum,27.9.6
316,vårdförlopp,,,,,,,,,,,sekvens av hälso- och sjukvårdsaktiviteter (7.2) som föranletts av en patients (5.2.1) hälsotillstånd (6.4),,,2019-12-10,VGR/FVM,,,Från Termforum,28.2.1.1
317,arbetsflöde,,,,,,,,,,,ordningsföljd för utförda hälso- och sjukvårdsaktiviteter (7.2) i en vårdprocess (8.2),,Klar,2019-12-10,FVM,"Förklaring     En vårdplan är en karta över den planerade processen. Vårdplanen läggs upp efter hälsoproblemet eller hälsoangelägenheten. Processen är den följd av aktiviteter som genomförs enligt vårdplanen. Men aktiviteterna behöver inte genomföras i en viss ordning föreskriven i vårdplanen, och utfall av en aktivitet i processen kan föranleda att en aktivitet som inte är förtecknad i vårdplanen också utförs. Det arbete som verkligen utförs är en följd av aktiviteter som dokumenteras. I dokumentationen framgår ordningsföljden, och av detta kan beskrivas ett arbetsflöde som i sig är grund för utvärdering av processen och indirekt vårdplanen. ",,Från Termforum,28.2.1.2
318,administrativ aktivitet,,,,,,,,,,,[hälso- och sjukvård] aktivitet (23.6.6) som stöder vårdprocessen (8.2) utan att direkt påverka patientens (5.2.1) hälsotillstånd (3.2),,Klar,2019-12-10,FVM,"Anmärkning 1     
Vid sidan de hälso- och sjukvårdsaktiviteter som avses påverka patientens hälsotillstånd krävs en rad aktiviteter för att administrera resurser, ekonomi, bokningar etc.

Anmärkning 2     
Administrativa aktiviteter inkluderar ekonomi och statistik.",,Från Termforum,28.2.3.1
319,avvikelse,,,,,,,,,,,händelse som medfört eller som hade kunnat medföra något oönskat,,Klar,2019-12-10,Socialstyrelsens termbank ,,,Från Termforum,28.2.4.1
320,avvikelsehantering,,,,,,,,,,,"identifiering, dokumentation, rapportering, utredning, åtgärdande och uppföljning av avvikelse (28.2.4.1)",,Klar,2019-12-10,FVM utgående från den något längre definitionen i Socialstyrelsens termbank. ,,,Från Termforum,28.2.4.1.1
321,avvikelsehanteringssystem,,,,,,,,,,,administrativt system för handläggning av avvikelser (28.2.4.1),,Klar,2019-12-10,FVM ,"Anmärkning 1     Rimligtvis handläggs avvikelser utanför Kärnsystemet, men en kommunikation med det kan behövas.",,Från Termforum,28.2.4.1.2
322,tillbud,,,,,,,,,,,händelse som hade kunnat medföra något oönskat,,Klar,2019-12-10,Socialstyrelsens termbank,,,Från Termforum,28.2.4.2
323,skada på patient,,,,,,,,,,,"lidande, kroppslig eller psykisk skada (26.4.2.5.4) eller sjukdom (26.4.2.5.3) samt dödsfall som drabbar en patient (5.2.1)",,Klar,2019-12-10,Socialstyrelsens termbank,Anmärkning 1     Såväl att en aktivitet utförs som att den (av misstag?) inte utförs kan leda till skada.,,Från Termforum,28.2.4.3
324,icke undvikbar skada,,,,,,,,,,,skada på patient (28.2.4.3) som inträffar trots att adekvata åtgärder vidtagits vid patientens (5.2.1) kontakt med hälso- och sjukvården (3.1.1),,Klar,2019-12-10,Socialstyrelsens termbank ,Anmärkning 1     Begreppet innefattar skador som ska utredas men som inte kan visas vara orsakad av fel eller underlåtenhet i behandlingen.,,Från Termforum,28.2.4.3.1
325,vårdskada,,,,,,,,,,,skada på patient (28.2.4.3) som hade kunnat undvikas om adekvata åtgärder hade vidtagits vid patientens (5.2.1) kontakt med hälso- och sjukvården (3.1.1),,Klar,2019-12-10,Socialstyrelsens termbank ,,,Från Termforum,28.2.4.3.2
326,allvarlig vårdskada,,,,,,,,,,,vårdskada (28.2.4.3.2) som medför bestående funktionsnedsättning (26.4.2.5.2) eller får andra betydande konsekvenser,,Klar,2019-12-10,FVM,"Anmärkning 1     Allvarlig vårdskada är inte definierad i Socialstyrelsens termbank. I patientsäkerhetslagen (2010:659) 1 kap. 5 § står: 
Med allvarlig vårdskada avses vårdskada som 
1. är bestående och inte ringa, eller 
2. har lett till att patienten fått ett väsentligt ökat vårdbehov eller avlidit. 
Detta betraktas i FVM som betydande konsekvenser, medan en vårdskada som inte är allvarlig även om det är en vårdskada inte behöver ha kroniska konsekvenser eller leder till bestående besvär utan stor betydelse.",,Från Termforum,28.2.4.3.2.1
327,patientsäkerhet,,,,,,,,,,,skydd mot vårdskada (28.2.4.3.2),,Klar,2019-12-10,Socialstyrelsens termbank ,,,Från Termforum,28.2.4.4
328,komplikation,,,,,,,,,,,oönskad utveckling av process (3.6.1),,Klar,2019-12-10,FVM,"Anmärkning 1     Vid bearbetning av Socialstyrelsens termbank för att strukturera terminologin avseende skador relaterade till hälso- och sjukvård valde man att inte definiera komplikation. I stället hänvisar man till termen skada på patient. Termen komplikation är så väl etablerad i hälso- och sjukvården att begreppet ändå behöver definieras och sättas in i begreppsmodellen. 

Anmärkning 2     Svårigheten att definiera komplikation grundar sig på att den inte behöver orsaka skada på patient men kan göra det. Risken för en komplikation kan vara väl känd när en aktivitet ska utföras, och det är tillfredsställande om den inte inträffar. Andra komplikationer kan komma fullständigt överraskande. En komplikation är därför ibland förutsedd, ibland oförutsedd, men den är alltid ett avsteg från processutvecklingen och aldrig en önskad händelse.",,Från Termforum,28.2.4.5
329,"biverkning
",biverkan,,,,,,,,,,"oavsedd effekt

Alternativ definition     
ogynnsam och oavsedd reaktion på ett läkemedel (Socialstyrelsens termbank). Anm.: Eftersom biverkning i detta begreppssystem inte behöver vara ogynnsam redovisas ett separat begrepp med ny definition.",,Klar,2019-12-10,FVM,"Anmärkning 1     Termen biverkning förekommer nästan enbart i anslutning till läkemedelsbehandling. Den uttrycker att läkemedlet utöver den önskade effekten också har en annan effekt som inte eftersträvats. Den effekten behöver inte vara negativ. Alla biverkningar kan därför inte anses vara skada på patient. 

Exempel 1     Viktnedgång vid behandling med epilepsiläkemedel. Håravfall vid behandling med cellgift. Buksmärtor vid behandling med inflammationsdämpande läkemedel.",,Från Termforum,28.2.4.6
